ZoneID,Japanese Name,Machine Translated,City,Actual,File Path,Zone Name
58,ハクタイ:ポケモンセンター 1F,Hakutai : Pokémon Center 1F,Eterna City,Eterna - Center 1F,prefab_map/t02pc0101,C04PC0101
59,ハクタイ:ポケモンセンター 2F,Hakutai : Pokémon Center 2F,Eterna City,Eterna - Center 2F,prefab_map/t02pc0102,C04PC0102
60,ハクタイ:ポケモンセンター B1F,Hakutai : Pokémon Center B1F,Eterna City,Eterna - Center B1F,prefab_map/t02pc0103,C04PC0103
61,ハクタイ:自転車屋,Hakutai : Bicycle Shop,Eterna City,Eterna - Cycle Shop,prefab_map/c04r0101,C04R0101
62,ハクタイ:ギンガ団支部ビル 1F,Hakutai : Gyinga Branch Building 1F,,T.G. Building 1F,prefab_map/c04r0201,C04R0201
63,ハクタイ:ギンガ団支部ビル 2F,Hakutai : Ginga Branch Building 2F,,T.G. Building 2F,prefab_map/c04r0202,C04R0202
64,ハクタイ:ギンガ団支部ビル 3F,Hakutai : Ginga Branch Building 3F,,T.G. Building 3F,prefab_map/c04r0203,C04R0203
65,ハクタイ:ギンガ団支部ビル 4F,Hakutai : 4F Ginga Branch Building,,T.G. Building 4F,prefab_map/c01r0302,C04R0204
66,ハクタイ:一般住居ビル 1F,Hakutai : General Residence Building 1F,Eterna City,Eterna - Eterna Condominums 1F,prefab_map/c01r0301,C04R0301
67,ハクタイ:一般住居ビル 2F（姓名判断）,Hakutai : General Residence Building 2F(Surname Judgment),Eterna City,Eterna - Eterna Condominums 2F,prefab_map/c04r0302,C04R0302
68,ハクタイ:一般住居ビル 3F,Hakutai : General Residence Building 3F,Eterna City,Eterna - Eterna Condominums 3F,prefab_map/c01r0302,C04R0303
69,ハクタイ:サイクリングゲートS,Hakutai : Cycling Gate S,Eterna City,Eterna - Cycling Road Gate,prefab_map/c04r0401,C04R0401
70,ハクタイ:民家1（漢方屋）,Hakutai : Private House 1(Kampoya),Eterna City,Eterna - House 1 (Herb Shop),prefab_map/c04r0501,C04R0501
71,ハクタイ:民家2,Hakutai : Private House 2,Eterna City,Eterna - House 2 (West of Gym),prefab_map/c04r0701,C04R0601
72,ハクタイ:民家3,Hakutai : Private Houses 3,Eterna City,Eterna - House 3 (South of Statue),prefab_map/c04r0701,C04R0701
73,ハクタイ:民家（地下オヤジの家）,Hakutai : Private House (House of The Underground Oyaji),Eterna City,Eterna - Underground Man's House,prefab_map/c04r0801,C04R0801
74,ヨスガシティ,Josga City,Hearthome City,Hearthome City,fields/area004,C05
75,ヨスガ:フレンドリィショップ,Josga : Friendly Shop,Hearthome City,Hearthome - Poké Mart,prefab_map/t02fs0101,C05FS0101
76,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Lobby,prefab_map/c05gym0101,C05GYM0101
77,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Trainer Room 1,prefab_map/c05gym0102,C05GYM0102
78,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Trainer Room 2,prefab_map/c05gym0102,C05GYM0103
79,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Question 2,prefab_map/c05gym0104,C05GYM0104
80,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Trainer Room 3,prefab_map/c05gym0102,C05GYM0105
81,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Question 3,prefab_map/c05gym0104,C05GYM0106
82,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Trainer Room 4,prefab_map/c05gym0102,C05GYM0107
83,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Question 4,prefab_map/c05gym0104,C05GYM0108
84,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Trainer Room 5,prefab_map/c05gym0102,C05GYM0109
85,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Trainer Room 6,prefab_map/c05gym0102,C05GYM0110
86,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Trainer Room 7,prefab_map/c05gym0102,C05GYM0111
87,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Trainer Room 8,prefab_map/c05gym0102,C05GYM0112
88,ヨスガ:ヨスガジム（ゴースト）,Josuga : Josga Gym (Ghost),,Hearthome - Gym Leader Room,prefab_map/c05gym0113,C05GYM0113
89,ヨスガ:ポケモンセンター 1F,Yosuga : Pokémon Center 1F,Hearthome City,Hearthome - Center 1F,prefab_map/t02pc0101,C05PC0101
90,ヨスガ:ポケモンセンター 2F,Yosuga : Pokémon Center 2F,Hearthome City,Hearthome - Center 2F,prefab_map/t02pc0102,C05PC0102
91,ヨスガ:ポケモンセンター B1F,Yosuga : Pokémon Center B1F,Hearthome City,Hearthome - Center B1F,prefab_map/t02pc0103,C05PC0103
92,ヨスガ:一般EVビル1 1F,Yosuga : General EV Building 1 1F,Hearthome City,Hearthome - Bdg. 1 1F (East of Fanclub),prefab_map/c05r0101,C05R0101
93,ヨスガ:一般EVビル1 2F,Yosuga : General EV Building 1 2F,Hearthome City,Hearthome - Bdg. 1 2F (East of Fanclub),prefab_map/c05r0102,C05R0102
94,ヨスガ:一般EVビル1 EV,Yosuga : General EV Building 1 EV,Hearthome City,Hearthome - Bdg. 1 Elv. (East of Fanclub),prefab_map/c01r0208,C05R0103
95,ヨスガ:大好きクラブ,Josga : My favorite club,Hearthome City,Hearthome - Pokémon Fan Club,prefab_map/c05r0201,C05R0201
96,ヨスガ:自然公園ゲート（縦）,Yosuga : Nature Park Gate (Portrait),Hearthome City,Hearthome - Amity Square West Gate,prefab_map/c05r0301,C05R0301
97,ヨスガ:自然公園ゲート（縦）,Yosuga : Nature Park Gate (Portrait),Hearthome City,Hearthome - Amity Square East Gate,prefab_map/c05r0301,C05R0401
98,ヨスガ:208ゲート,Yosga : 208 Gate,Hearthome City,Hearthome - Route 208 Gate,prefab_map/r218r0101,C05R0501
99,ヨスガ:209ゲート,Yosuga : 209 Gate,Hearthome City,Hearthome - Route 209 Gate,prefab_map/r218r0101,C05R0601
100,ヨスガ:212aゲート,Yosuga:212a Gate,Hearthome City,Hearthome - Route 212 Gate,prefab_map/c05r0301,C05R0701
101,ヨスガ:一般EVビル2 1F,Yosuga : General EV Building 2 1F,Hearthome City,Hearthome - Bdg. 2 1F (West of Gym),prefab_map/c05r0801,C05R0801
102,ヨスガ:一般EVビル2 2F,Yosuga : General EV Building 2 2F,Hearthome City,Hearthome - Bdg. 2 2F (West of Gym),prefab_map/c05r0102,C05R0802
103,ヨスガ:一般EVビル2 EV,Yosuga : General EV Building 2 EV,Hearthome City,Hearthome - Bdg. 2 Elv. (West of Gym),prefab_map/c01r0208,C05R0803
104,ヨスガ:民家1,Josuga : Private House 1,Hearthome City,Hearthome - Bebe's House (East of Center),prefab_map/c05r0901,C05R0901
105,ヨスガ:民家2（料理教室）,Josga : Private House 2(Cooking Class),Hearthome City,Hearthome - Poffin House (West of Mart),prefab_map/c05r1001,C05R1001
106,ヨスガ:コンテスト会場受付,Josuga : Reception of the contest venue,Hearthome City,Hearthome - Contest Hall (Main Lobby),prefab_map/c05r1101,C05R1101
107,ヨスガ:コンテスト会場（ダミー）,Josga : Contest Venue (Dummy),Hearthome City,Hearthome - Contest Hall? (inaccessible?),prefab_map/c05r1102,C05R1102
108,ヨスガ:コンテスト会場 接続先正規,Yosuga : Contest venue Connection destination regular,Hearthome City,Hearthome - Contest Hall (Stage room),prefab_map/c05r1102,C05R1103
109,ヨスガ:異文化の建物,Josga : Intercultural buildings,Hearthome City,Hearthome - Church,prefab_map/c05r1201,C05R1201
110,ノモセシティ,Nomose City,Pastoria City,Pastoria City,fields/area007,C06
111,ノモセ:フレンドリィショップ,Nomose : Friendly Shop,Pastoria City,Pastoria - Poké Mart,prefab_map/t02fs0101,C06FS0101
112,ノモセ:ノモセジム（水）,Nomose : Nomosé Gym (Wed),,Pastoria - Gym,prefab_map/c06gym0101,C06GYM0101
113,ノモセ:ポケモンセンター 1F,Nomose : Pokémon Center 1F,Pastoria City,Pastoria - Center 1F,prefab_map/t02pc0101,C06PC0101
114,ノモセ:ポケモンセンター 2F,Nomose : Pokémon Center 2F,Pastoria City,Pastoria - Center 2F,prefab_map/t02pc0102,C06PC0102
115,ノモセ:ポケモンセンター B1F,Nomose : Pokémon Center B1F,Pastoria City,Pastoria - Center B1F,prefab_map/t02pc0103,C06PC0103
116,ノモセ:湿原ゲート1F,Nomose : Wetland Gate 1F,Pastoria City,Pastoria - Great Marsh Gate 1F,prefab_map/c06r0101,C06R0101
117,ノモセ:湿原ゲート2F,Nomose : Wetland Gate 2F,Pastoria City,Pastoria - Great Marsh Gate 2F,prefab_map/c06r0102,C06R0102
118,ノモセ:民家1,Nomose : Private house 1,Pastoria City,Pastoria - House 1 (West of Mart),prefab_map/t01r0301,C06R0201
119,ノモセ:民家2,Nomosé : Private House 2,Pastoria City,Pastoria - House 2 (North of Mart),prefab_map/t01r0301,C06R0301
120,ノモセ:民家3（技教え）,Nomose : Private House 3(Teaching),Pastoria City,Pastoria - House 3 (NW of Mart),prefab_map/c05r0901,C06R0401
121,ノモセ:民家4,Nomosé : Private house 4,Pastoria City,Pastoria - House 4 (East of Gym),prefab_map/t01r0301,C06R0501
122,ノモセ:民家5,Nomose : Private House 5,Pastoria City,Pastoria - House 5 (East of Marsh Gate),prefab_map/t01r0301,C06R0601
123,トバリシティ,Tovary City,Veilstone City,Veilstone City,fields/area006,C07
124,トバリ:トバリジム（格闘）,Tobari : Tobari Gym (Fighting),,Veilstone - Gym,prefab_map/c07gym0101,C07GYM0101
125,トバリ:ポケモンセンター 1F,Tobari : Pokémon Center 1F,Veilstone City,Veilstone - Center 1F,prefab_map/t02pc0101,C07PC0101
126,トバリ:ポケモンセンター 2F,Tobari : Pokémon Center 2F,Veilstone City,Veilstone - Center 2F,prefab_map/t02pc0102,C07PC0102
127,トバリ:ポケモンセンター B1F,Tobari : Pokémon Center B1F,Veilstone City,Veilstone - Center B1F,prefab_map/t02pc0103,C07PC0103
128,トバリ:ゲームコーナー,Tobari : Game Corner,Veilstone City,Veilstone - Style Shop,prefab_map/c07r0101,C07R0101
129,トバリ:デパート 1F,Tobari : Department Store 1F,Veilstone City,Veilstone - Department Store 1F,prefab_map/c07r0201,C07R0201
130,トバリ:デパート 2F,Tobari : Department Store 2F,Veilstone City,Veilstone - Department Store 2F,prefab_map/c07r0202,C07R0202
131,トバリ:デパート 3F,Tobari : Department Store 3F,Veilstone City,Veilstone - Department Store 3F,prefab_map/c07r0203,C07R0203
132,トバリ:デパート 4F,Tobari : Department store 4F,Veilstone City,Veilstone - Department Store 4F,prefab_map/c07r0204,C07R0204
133,トバリ:デパート 5F,Tobari : Department Store 5F,Veilstone City,Veilstone - Department Store 5F,prefab_map/c07r0205,C07R0205
134,トバリ:デパートEV,Tobari : Department store EV,Veilstone City,Veilstone - Department Store Elv.,prefab_map/c01r0208,C07R0206
135,トバリ:倉庫,Tobari : Warehouse,Veilstone City,Veilstone - Warehouse,prefab_map/c07r0301,C07R0301
136,トバリ:景品交換,Tobari : Freebies Exchange,Veilstone City,Veilstone - Style Shop Storage,prefab_map/c07r0401,C07R0401
137,トバリ:民家1,Tobari : Private houses 1,Veilstone City,"Veilstone - House 1 (South of Gym, right)",prefab_map/c05r0901,C07R0501
138,トバリ:民家2,Tobari : Private houses 2,Veilstone City,Veilstone - House 2 (East of Dept. Store),prefab_map/c05r0901,C07R0601
139,トバリ:民家3,Tobari : Private houses 3,Veilstone City,Veilstone - House 3 (North of Center),prefab_map/t01r0301,C07R0701
140,トバリ:民家4,Tobari : Private houses 4,Veilstone City,"Veilstone - House 4 (South of Gym, left)",prefab_map/t01r0301,C07R0801
141,トバリ:215ゲート,Tobari : 215 Gate,Veilstone City,Veilstone - Route 215 Gate,prefab_map/r218r0101,C07R0901
142,ナギサシティ,Nagisa City,Sunyshore City,Sunyshore City,fields/area008,C08
143,ナギサ:フレンドリィショップ,Nagisa : Friendly Shop,Sunyshore City,Sunyshore - Poké Mart,prefab_map/t02fs0101,C08FS0101
144,ナギサ:ナギサジム（電気）,Nagisa : Nagisa Gym (Electric),,Sunyshore - Gym Room 1,prefab_map/c08gym0101,C08GYM0101
145,ナギサ:ナギサジム（電気）,Nagisa : Nagisa Gym (Electric),,Sunyshore - Gym Room 2,prefab_map/c08gym0102,C08GYM0102
146,ナギサ:ナギサジム（電気）,Nagisa : Nagisa Gym (Electric),,Sunyshore - Gym Room 3,prefab_map/c08gym0103,C08GYM0103
147,ナギサ:ポケモンセンター 1F,Nagisa : Pokémon Center 1F,Sunyshore City,Sunyshore - Center 1F,prefab_map/t02pc0101,C08PC0101
148,ナギサ:ポケモンセンター 2F,Nagisa : Pokémon Center 2F,Sunyshore City,Sunyshore - Center 2F,prefab_map/t02pc0102,C08PC0102
149,ナギサ:ポケモンセンター B1F,Nagisa : Pokémon Center B1F,Sunyshore City,Sunyshore - Center B1F,prefab_map/t02pc0103,C08PC0103
150,ナギサ:市場,Nagisa : Markets,Sunyshore City,Sunyshore - Sunyshore Market,prefab_map/c08r0101,C08R0101
151,ナギサ:民家1,Nagisa : Private House 1,Sunyshore City,"Sunyshore - House 1 (NE section, right)",prefab_map/c02r0501,C08R0201
152,ナギサ:民家2（地下オヤジの家2）,Nagisa : Private House 2(House of the Underground Oyaji 2),Sunyshore City,Sunyshore - House 2 (West of Mart),prefab_map/c04r0801,C08R0301
153,ナギサ:民家3,Nagisa : Private House 3,Sunyshore City,"Sunyshore - House 3 (NE section, left)",prefab_map/c02r0501,C08R0401
154,ナギサ:民家4,Nagisa : Private house 4,Sunyshore City,Sunyshore - Unused House 4,prefab_map/c08r0501,C08R0501
155,ナギサ:民家5,Nagisa : Private house 5,Sunyshore City,Sunyshore - Unused House 5,prefab_map/c08r0601,C08R0601
156,ナギサ:民家6,Nagisa : Private house 6,Sunyshore City,Sunyshore - House 6 (SE),prefab_map/c05r0901,C08R0701
157,ナギサ:展望台,Nagisa : Observation Deck,Sunyshore City,Sunyshore - Lighthouse Top,prefab_map/c08r0801,C08R0801
158,ナギサ:展望台EV,Nagisa : Observatory EV,Sunyshore City,Sunyshore - Lighthouse Elv.,prefab_map/c01r0208,C08R0802
159,キッサキシティ,Kissaki City,Snowpoint City,Snowpoint City,fields/area009,C09
160,キッサキ:フレンドリィショップ,Kissaki : Friendly Shop,Snowpoint City,Snowpoint - Poké Mart,prefab_map/t02fs0101,C09FS0101
161,キッサキ:キッサキジム（氷）,Kisaki : Kisaki Gym (Ice),,Snowpoint - Gym,prefab_map/c09gym0101,C09GYM0101
162,キッサキ:ポケモンセンター 1F,Kisaki : Pokémon Center 1F,Snowpoint City,Snowpoint - Center 1F,prefab_map/t02pc0101,C09PC0101
163,キッサキ:ポケモンセンター 2F,Kisaki : Pokémon Center 2F,Snowpoint City,Snowpoint - Center 2F,prefab_map/t02pc0102,C09PC0102
164,キッサキ:ポケモンセンター B1F,Kisaki : Pokémon Center B1F,Snowpoint City,Snowpoint - Center B1F,prefab_map/t02pc0103,C09PC0103
165,キッサキ:民家1,Kisaki : Private House 1,Snowpoint City,Snowpoint - House 1 (NW),prefab_map/t01r0301,C09R0101
166,キッサキ:民家2,Kisaki : Private House 2,Snowpoint City,Snowpoint - House 2 (NE),prefab_map/t01r0301,C09R0201
167,ポケモンリーグ,Pokémon League,Pokemon League,Pokémon League,fields/area008,C10
168,リーグ:ポケモンセンター 1F,League : Pokémon Center 1F,Pokemon League,Pokémon League - VR Center 1F,prefab_map/t02pc0101,C10PC0101
169,リーグ:ポケモンセンター 2F,League : Pokémon Center 2F,Pokemon League,Pokémon League - VR Center 2F,prefab_map/t02pc0102,C10PC0102
170,リーグ:ポケモンセンター B1F,League : Pokémon Center B1F,Pokemon League,Pokémon League - VR Center B1F,prefab_map/t02pc0103,C10PC0103
171,リーグ:リーグ受付,League: League Admission,Pokemon League,Pokémon League - League Lobby,prefab_map/c10r0101,C10R0101
172,リーグ:四天王への通路1,League : Passage to Shitenno 1,Pokemon League,Pokémon League - Lift to Elite Four 1,prefab_map/c10r0102,C10R0102
173,リーグ:四天王の部屋1,League : Room of the Four Heavenly Kings 1,Pokemon League,Pokémon League - Elite Four 1,prefab_map/c10r0103,C10R0103
174,リーグ:四天王への通路2,League : Passage to Shitenno 2,Pokemon League,Pokémon League - Lift to Elite Four 2,prefab_map/c10r0104,C10R0104
175,リーグ:四天王の部屋2,League : Room of the Four Heavenly Kings 2,Pokemon League,Pokémon League - Elite Four 2,prefab_map/c10r0105,C10R0105
176,リーグ:四天王への通路3,League : Passage to Shitenno 3,Pokemon League,Pokémon League - Lift to Elite Four 3,prefab_map/c10r0104,C10R0106
177,リーグ:四天王の部屋3,League : Room of the Four Heavenly Kings 3,Pokemon League,Pokémon League - Elite Four 3,prefab_map/c10r0107,C10R0107
178,リーグ:四天王への通路4,League : Passage to Shitenno 4,Pokemon League,Pokémon League - Lift to Elite Four 4,prefab_map/c10r0104,C10R0108
179,リーグ:四天王の部屋4,League: Room of the Four Heavenly Kings 4,Pokemon League,Pokémon League - Elite Four 4,prefab_map/c10r0109,C10R0109
180,リーグ:四天王への通路5,League : Passage to Shitenno 5,Pokemon League,Pokémon League - Lift to Champion,prefab_map/c10r0110,C10R0110
181,リーグ:チャンピオンの部屋,League : Champion's Room,Pokemon League,Pokémon League - Champion Room,prefab_map/c10r0111,C10R0111
182,リーグ:殿堂入りへの通路,League : Passage to Hall of Fame,Pokemon League,Pokémon League - Hall to Hall of Fame,prefab_map/c10r0112,C10R0112
183,リーグ:殿堂入りの部屋,League : Hall of Fame Room,Pokemon League,Pokémon League - Hall of Fame,prefab_map/c10r0113,C10R0113
184,リーグ:リーグ専用 PC2F,League: League DEDICATED PC2F,Pokemon League,Pokémon League - League 2F,prefab_map/t02pc0102,C10R0114
185,リーグ:リーグ専用 PCB1,League: League Dedicated PCB1,Pokemon League,Pokémon League - League B1F,prefab_map/t02pc0103,C10R0115
186,ファイトエリア,Fight Area,,Fight Area,fields/area014,C11
187,ファイトエリア:フレンドリィショップ,Fight Area: Friendly Shop,,Fight Area - Poké Mart,prefab_map/t02fs0101,C11FS0101
188,ファイトエリア:ポケモンセンター 1F,Fight Area : Pokémon Center 1F,,Fight Area - Center 1F,prefab_map/t02pc0101,C11PC0101
189,ファイトエリア:ポケモンセンター 2F,Fight Area : Pokémon Center 2F,,Fight Area - Center 2F,prefab_map/t02pc0102,C11PC0102
190,ファイトエリア:ポケモンセンター B1F,Fight Area : Pokémon Center B1F,,Fight Area - Center B1F,prefab_map/t02pc0103,C11PC0103
191,ファイトエリア:バトルパークゲート,Fight Area: Battle Park Gate,,Fight Area - Battle Park Gate,prefab_map/c04r0401,C11R0101
192,ファイトエリア:225ゲート,Fight area: 225 gates,,Fight Area - Route 225 Gate,prefab_map/c05r0301,C11R0201
193,ファイトエリア:民家1,Fight Area : Private House 1,,Fight Area - House 1 (West of Mart),prefab_map/t01r0301,C11R0301
