ID,Class/Name,Level Cap,Format,Pokemon 1 Icon,Pokemon 1 Name,Pokemon 1 Level,Pokemon 1 Nature,Pokemon 1 Ability,Item 1 Icon,Item 1 Name,Pokemon 1 Move 1,Pokemon 1 Move 2,Pokemon 1 Move 3,Pokemon 1 Move 4,Pokemon 1 IV,Pokemon 1 EV,Pokemon 2 Icon,Pokemon 2 Name,Pokemon 2 Level,Pokemon 2 Nature,Pokemon 2 Ability,Item 2 Icon,Item 2 Name,Pokemon 2 Move 1,Pokemon 2 Move 2,Pokemon 2 Move 3,Pokemon 2 Move 4,Pokemon 2 IV,Pokemon 2 EV,Pokemon 3 Icon,Pokemon 3 Name,Pokemon 3 Level,Pokemon 3 Nature,Pokemon 3 Ability,Item 3 Icon,Item 3 Name,Pokemon 3 Move 1,Pokemon 3 Move 3,Pokemon 3 Move 2,Pokemon 3 Move 4,Pokemon 3 IV,Pokemon 3 EV,Pokemon 4 Icon,Pokemon 4 Name,Pokemon 4 Level,Pokemon 4 Nature,Pokemon 4 Ability,Item 4 Icon,Item 4 Name,Pokemon 4 Move 1,Pokemon 4 Move 2,Pokemon 4 Move 3,Pokemon 4 Move 4,Pokemon 4 IV,Pokemon 4 EV,Pokemon 5 Icon,Pokemon 5 Name,Pokemon 5 Level,Pokemon 5 Nature,Pokemon 5 Ability,Item 5 Icon,Item 5 Name,Pokemon 5 Move 1,Pokemon 5 Move 2,Pokemon 5 Move 3,Pokemon 5 Move 4,Pokemon 5 IV,Pokemon 5 EV,Pokemon 6 Icon,Pokemon 6 Name,Pokemon 6 Level,Pokemon 6 Nature,Pokemon 6 Ability,Item 6 Icon,Item 6 Name,Pokemon 6 Move 1,Pokemon 6 Move 2,Pokemon 6 Move 3,Pokemon 6 Move 4,Pokemon 6 IV,Pokemon 6 EV,Item(s),Special Note(s)
690,Dawn (Route 202) [Piplup],Level Cap: 16,Format: Singles,,Piplup,9,Bashful,Torrent,,None,Pound,Growl,Water Gun,Bubble,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
753,Barry (Route 203) [Turtwig] (Team 1),Level Cap: 16,Format: Singles,,Growlithe,10,Quiet,Intimidate,,Focus Sash,Ember,Bite,Roar,Leer,All 25,None,,Starly,10,Gentle,Keen Eye,,Expert Belt,Wing Attack,Quick Attack,Tackle,Growl,All 25,None,,Turtwig,11,Careful,Shell Armor,,Oran Berry,Razor Leaf,Tackle,Hidden Power (Dark),Curse,All 25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
754,Barry (Route 203) [Turtwig] (Team 2),Level Cap: 16,Format: Singles,,Geodude,10,Calm,Sturdy,,Focus Sash,Rock Throw,Tackle,Rock Polish,Mega Punch,All 25,None,,Mantyke,10,Lax,Water Absorb,,Expert Belt,Water Pulse,Air Cutter,Tackle,Confuse Ray,All 25,None,,Turtwig,11,Careful,Shell Armor,,Oran Berry,Razor Leaf,Tackle,Hidden Power (Dark),Curse,All 25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
755,Barry (Route 203) [Turtwig] (Team 3),Level Cap: 16,Format: Singles,,Nidoran♀,10,Sassy,Hustle,,Focus Sash,Double Kick,Fury Swipes,Poison Sting,Growl,All 25,None,,Surskit,10,Naughty,Swift Swim,,Expert Belt,Bug Bite,Quick Attack,Sweet Scent,Water Gun,All 25,None,,Turtwig,11,Careful,Shell Armor,,Oran Berry,Razor Leaf,Tackle,Hidden Power (Dark),Curse,All 25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
756,Barry (Route 203) [Turtwig] (Team 4),Level Cap: 16,Format: Singles,,Abra,10,Rash,Magic Guard,,Focus Sash,Teleport,Hidden Power (Dark),,,All 25,None,,Squirtle,10,Naive,Rain Dish,,Expert Belt,Water Gun,Withdraw,Tackle,Tail Whip,All 25,None,,Turtwig,11,Careful,Shell Armor,,Oran Berry,Razor Leaf,Tackle,Hidden Power (Dark),Curse,All 25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
745,Barry (Route 203) [Chimchar] (Team 1),Level Cap: 16,Format: Singles,,Makuhita,10,Careful,Thick Fat,,Focus Sash,Fake Out,Arm Thrust,Tackle,Sand Attack,All 25,None,,Bellsprout,10,Hasty,Corrosion,,Expert Belt,Sleep Powder,Acid,Vine Whip,Growth,All 25,None,,Chimchar,11,Jolly,Iron Fist,,Oran Berry,Ember,Fury Swipes,Taunt,Hidden Power (Ghost),24/25/26/25/24/25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
746,Barry (Route 203) [Chimchar] (Team 2),Level Cap: 16,Format: Singles,,Nidoran♂,10,Lonely,Poison Point,,Focus Sash,Double Kick,Fury Attack,Peck,Poison Sting,All 25,None,,Elekid,10,Lax,Static,,Expert Belt,Thunder Shock,Quick Attack,Low Kick,Leer,All 25,None,,Chimchar,11,Jolly,Iron Fist,,Oran Berry,Ember,Fury Swipes,Taunt,Hidden Power (Ghost),24/25/26/25/24/25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
747,Barry (Route 203) [Chimchar] (Team 3),Level Cap: 16,Format: Singles,,Azurill,10,Brave,Huge Power,,Soothe Bell,Tail Whip,Bubble Beam,Charm,Splash,All 25,None,,Bulbasaur,10,Impish,Overgrow,,Expert Belt,Tackle,Growl,Vine Whip,Leech Seed,All 25,None,,Chimchar,11,Jolly,Iron Fist,,Oran Berry,Ember,Fury Swipes,Taunt,Hidden Power (Ice),25/24/26/25/25/25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
748,Barry (Route 203) [Chimchar] (Team 4),Level Cap: 16,Format: Singles,,Cubone,10,Careful,Rattled,,Focus Sash,Headbutt,Bone Club,Sing,Leer,All 25,None,,Shinx,10,Sassy,Guts,,Expert Belt,Spark,Quick Attack,Howl,Leer,All 25,None,,Chimchar,11,Jolly,Iron Fist,,Oran Berry,Ember,Fury Swipes,Taunt,Hidden Power (Ghost),24/25/26/25/24/25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
749,Barry (Route 203) [Piplup] (Team 1),Level Cap: 16,Format: Singles,,Pidgey,10,Naughty,Big Pecks,,Focus Sash,Wing Attack,Quick Attack,Sand Attack,Gust,All 25,None,,Ralts,10,Bold,Telepathy,,Expert Belt,Disarming Voice,Confusion,Growl,Teleport,All 25,None,,Piplup,11,Modest,Torrent,,Oran Berry,Water Gun,Peck,Charm,Hidden Power (Ice),25/24/26/25/25/25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
750,Barry (Route 203) [Piplup] (Team 2),Level Cap: 16,Format: Singles,,Poochyena,10,Relaxed,Strong Jaw,,Focus Sash,Bite,Tackle,Howl,Sand Attack,All 25,None,,Smoochum,10,Calm,Dazzling,,Expert Belt,Powder Snow,Confusion,Sing,Sweet Kiss,All 25,None,,Piplup,11,Modest,Torrent,,Oran Berry,Water Gun,Peck,Charm,Hidden Power (Ice),25/24/26/25/25/25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
751,Barry (Route 203) [Piplup] (Team 3),Level Cap: 16,Format: Singles,,Wynaut,10,Quirky,Telepathy,,Focus Sash,Counter,Mirror Coat,Splash,Encore,All 25,None,,Pineco,10,Impish,Sturdy,,Expert Belt,Revenge,Bug Bite,Self-Destruct,Tackle,All 25,None,,Piplup,11,Modest,Torrent,,Oran Berry,Water Gun,Peck,Charm,Hidden Power (Ice),25/24/26/25/25/25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
752,Barry (Route 203) [Piplup] (Team 4),Level Cap: 16,Format: Singles,,Sandshrew,10,Careful,Sand Rush,,Focus Sash,Bulldoze,Rollout ,Poison Sting,Defense Curl,All 25,None,,Charmander,10,Mild,Blaze,,Expert Belt,Scratch,Ember,Growl,Smokescreen,All 25,None,,Piplup,11,Modest,Torrent,,Oran Berry,Water Gun,Peck,Charm,Hidden Power (Ice),25/24/26/25/25/25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
823,Roark [Oreburgh City] (Team 1),Level Cap: 16,Format: Singles,,Geodude,15,Naughty,Sturdy,,Safety Goggles,Bulldoze,Stealth Rock,Rock Tomb,Sandstorm,All 25,4 HP / 252 Atk,,Lunatone,15,Rash,Levitate,,Colbur Berry,Rock Slide,Hypnosis,Confusion,Sandstorm,All 25,4 Atk / 252 Def,,Kabuto,15,Lonely,Battle Armor,,Rindo Berry,Aqua Jet,Knock Off,Rapid Spin,Confuse Ray,All 25,4 HP / 252 Atk,,Larvitar,15,Hardy,Intimidate,,Muscle Band,Bulldoze,Rock Tomb,Taunt,Brick Break,All 25,252 Def / 4 SpD,,Lileep,15,Modest,Storm Drain,,Big Root,Mega Drain,Acid,Confuse Ray,Ancient Power,All 25 / 0 Atk,252 HP / 4 SpD,,Cranidos,16,Naive,Rock Head,,Berry Juice,Take Down,Scary Face,Focus Energy,Rock Tomb,All 25,252 Atk / 4 Def / 252 Spe,None,Rewards Stealth Rock TM
824,Roark [Oreburgh City] (Team 2),Level Cap: 16,Format: Singles,,Shuckle,15,Adamant,Sturdy,,Smooth Rock,Sandstorm,Rock Throw,Wrap,Rollout ,All 25,252 Atk,,Anorith,15,Hasty,Tough Claws,,Muscle Band,Fury Cutter,Smack Down,Aqua Jet,Scratch,All 25,236 Atk / 36 SpD,,Lunatone,15,Rash,Levitate,,Colbur Berry,Rock Slide,Hypnosis,Confusion,Sandstorm,All 25,4 Atk / 252 Def,,Lileep,15,Modest,Storm Drain,,Big Root,Mega Drain,Acid,Confuse Ray,Ancient Power,All 25 / 0 Atk,252 HP / 252 SpA / 4 SpD,,Bonsly,15,Impish,Rock Head,,Safety Goggles,Stealth Rock,Brick Break,Rollout ,Defense Curl,All 25 / 0 Atk,252 Atk / 236 SpD / 12 Spe,,Cranidos,16,Naive,Rock Head,,Berry Juice,Take Down,Scary Face,Focus Energy,Rock Tomb,All 25,252 Atk / 4 Def / 252 Spe,None,Rewards Stealth Rock TM
825,Roark [Oreburgh City] (Team 3),Level Cap: 16,Format: Singles,,Shieldon,15,Sassy,Soundproof,,Chople Berry,Shock Wave,Taunt,Stealth Rock,Rock Tomb,All 25,12/20/0/236/240/0,,Anorith,15,Hasty,Tough Claws,,Safety Goggles,Fury Cutter,Smack Down,Aqua Jet,Scratch,All 25,236 Atk / 36 SpD / 236 Spe,,Nosepass,15,Lax,Sturdy,,Smooth Rock,Thunder Wave,Shock Wave,Rock Throw,Sandstorm,All 25,236 Def / 12 Spe,,Rhyhorn,15,Lonely,Rock Head,,Muscle Band,Bulldoze,Stomp,Smack Down,Stealth Rock,All 25,12 HP / 236 Atk,,Omanyte,15,Mild,Weak Armor,,Mystic Water,Water Gun,Aurora Beam,Knock Off,Bite,All 25,252 SpA,,Cranidos,16,Naive,Rock Head,,Berry Juice,Take Down,Scary Face,Focus Energy,Rock Tomb,All 25,252 Atk / 4 Def / 252 Spe,None,Rewards Stealth Rock TM
826,Roark [Oreburgh City] (Team 4),Level Cap: 16,Format: Singles,,Cranidos,16,Naive,Rock Head,,Berry Juice,Take Down,Scary Face,Stealth Rock,Rock Tomb,All 25,252 Atk / 4 Def / 252 Spe,,Solrock,15,Naughty,Levitate,,Light Clay,Rock Tomb,Fire Spin,Confusion,Reflect,All 25,236 Atk / 24 SpA,,Rhyhorn,15,Lonely,Rock Head,,Passho Berry,Bulldoze,Stomp,Smack Down,Stealth Rock,All 25,12 HP / 236 Atk,,Larvitar,15,Hardy,Intimidate,,Muscle Band,Bulldoze,Rock Tomb,Taunt,Brick Break,All 25,252 Def / 4 SpD,,Geodude,15,Naughty,Sturdy,,Hard Stone,Bulldoze,Fire Punch,Rock Tomb,Thunder Punch,All 25,4 HP / 252 Atk,,Relicanth,15,Brave,Rock Head,,Power Herb,Rock Tomb,Dive,Ancient Power,Tackle,All 25,20 HP / 252 Atk,None,Rewards Stealth Rock TM
875,Galatic Commander Mars [Valley Windworks],Level Cap: 26,Format: Singles,,Zubat,18,Naive,Inner Focus,,Poison Barb,Wing Attack,Poison Fang,Confuse Ray,Bite,All 25,68/184/20/0/0/236,,Bronzor,18,Brave,Levitate,,Sitrus Berry,Extrasensory,Gyro Ball,Hypnosis,Confuse Ray,All 25,244/0/12/240/12/0,,Yanma,18,Jolly,Speed Boost,,Charti Berry,Leech Life,Wing Attack,Quick Attack,Detect,All 25,248 Atk / 8 Def / 252 Spe,,Purugly,19,Careful,Thick Fat,,Sitrus Berry,Fake Out,Hypnosis,Facade,Aerial Ace,All 25,12 HP / 252 Atk / 244 SpD,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
1943,Cheryl (Eterna Forest),Level Cap: 26,Format: Singles,,Drifloon,19,Naive,Unburden,,None,Hex,Air Cutter,Shock Wave,Swift,All 25,4 HP / 252 SpD / 252 Spe,,Makuhita,19,Timid,Thick Fat,,None,Brick Break,Knock Off,Fake Out,Bullet Punch,All 25,20 HP / 196 Atk / 36 Def,,Wailmer,19,Modest,Oblivious,,None,Water Pulse,Rock Tomb,Mist,Rollout ,All 25,36 HP / 200 SpD / 200 Spe,,Chansey,19,Serious,Serene Grace,,None,Hyper Voice,Soft-Boiled,Ice Beam,Thunderbolt,All 31,248 HP / 252 Def / 8 SpA,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
269,Linsday,Level Cap: 26,Format: Singles,,Leafeon,25,Hardy,Chlorophyll,,Heat Rock,Sunny Day,Bullet Seed,Curse,Leech Seed,All 25,None,,Wormadam-Plant,26,Hardy,Overcoat,,Occa Berry,Hidden Power (Water),Quiver Dance,Energy Ball,Protect,25/25/25/20/25/20,None,,Grovyle,26,Hardy,Unburden,,Light Ball,Fling,Giga Drain,Dragon Breath,Quick Attack,All 25,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
827,Gardenia [Eterna City] (Team 1),Level Cap: 26,Format: Singles,,Voltorb-Hisui,25,Timid,Grassy Surge,,Magnet,Volt Switch,Electro Ball,Grass Knot,Reflect,All 25,252 SpA / 12 SpD / 244 Spe,,Parasect,25,Careful,Oblivious,,Coba Berry,Spore,X-Scissor,Aerial Ace,Brick Break,All 25,228/28/4/0/244/4,,Skiploom,25,Jolly,Infiltrator,,Power Herb,Seed Bomb,Bounce,Strength Sap,Cotton Guard,All 25,252 Atk / 12 SpD / 244 Spe,,Bellossom,25,Calm,Chlorophyll,,Big Root,Petal Dance,Synthesis,Ingrain,Grassy Terrain,All 25,236 HP / 20 SpA / 244 SpD,,Vileplume,25,Hasty,Chlorophyll,,Black Sludge,Petal Blizzard,Hidden Power (Ground),Toxic,Sunny Day,25/24/25/24/24/25,236 HP / 244 Atk,,Roserade,26,Hasty,Technician,,Sitrus Berry,Grass Knot,Weather Ball,Poison Jab,Sleep Powder,All 25,248 SpA / 252 Spe,None,Rewards Grass Knot TM
828,Gardenia [Eterna City] (Team 2),Level Cap: 26,Format: Singles,,Ivysaur,25,Bold,Overgrow,,Black Sludge,Nature Power,Synthesis,Leech Seed,Sleep Powder,All 25,244 HP / 244 Def / 20 SpA,,Tropius,25,Quiet,Chlorophyll,,Yache Berry,Nature Power,Dragon Pulse,Fly,Roost,All 25,252 HP / 204 Atk / 52 SpA,,Grotle,25,Brave,Overgrow,,Leftovers,Bullet Seed,Earth Power,Body Slam,Synthesis,All 25,252/204/0/0/48/4,,Cherrim-Overcast,25,Hasty,Flower Gift,,Heat Rock,Petal Blizzard,Weather Ball,Morning Sun,Sunny Day,All 25,244 HP / 4 Atk / 252 Spe,,Leafeon,25,Adamant,Chlorophyll,,Muscle Band,Seed Bomb,Aerial Ace,Double-Edge,Quick Attack,All 25,244 Atk / 12 SpD / 252 Spe,,Roserade,26,Hasty,Technician,,Sitrus Berry,Grass Knot,Weather Ball,Poison Jab,Sleep Powder,All 25,0/4/0/248/4/252,None,Rewards Grass Knot TM
829,Gardenia [Eterna City] (Team 3),Level Cap: 26,Format: Singles,,Lileep,25,Sassy,Storm Drain,,Chople Berry,Brine,Rock Slide,Recover,Stealth Rock,All 25,244 HP / 12 Atk / 252 SpD,,Breloom,25,Adamant,Technician,,Muscle Band,Bullet Seed,Mach Punch,Force Palm,Stun Spore,All 25,288/20/0/0/36/244,,Tangela,25,Lax,Regenerator,,Red Card,Grass Knot,Knock Off,Ancient Power,Leech Seed,All 25,252 HP / 12 Atk / 244 Def,,Carnivine,25,Adamant,Levitate,,Scope Lens,Razor Leaf,Crunch,Metal Claw,Sleep Powder,All 25,244 HP / 244 Atk / 20 SpD,,Ludicolo,25,Mild,Swift Swim,,Damp Rock,Rain Dance,Fake Out,Giga Drain,Water Pulse,All 25,4/4/0/244/0/244,,Roserade,26,Hasty,Technician,,Sitrus Berry,Grass Knot,Weather Ball,Extrasensory,Sleep Powder,All 25,248 SpA / 252 Spe,None,Rewards Grass Knot TM
830,Gardenia [Eterna City] (Team 4),Level Cap: 26,Format: Singles,,Roserade,26,Timid,Natural Cure,,Black Sludge,Grass Knot,Sleep Powder,Spikes,Toxic Spikes,All 25,244 HP / 12 Def / 252 Spe,,Bayleef,25,Calm,Serene Grace,,Light Clay,Energy Ball,Synthesis,Reflect,Light Screen,All 25,228/0/0/28/244/4,,Grovyle,25,Hasty,Technician,,Muscle Band,Leaf Blade,Dragon Breath,Rock Tomb,Quick Attack,All 25,252 Atk / 12 SpA / 240 Spe,,Wormadam-Plant,25,Modest,Battle Armor,,Occa Berry,Grass Knot,Hidden Power (Rock),Psybeam,Quiver Dance,25/25/24/25/24/24,4 HP / 252 SpA / 244 Spe,,Shiftry,25,Mild,Chlorophyll,,Heat Rock,Feint Attack,Air Cutter,Sunny Day,Synthesis,All 25,244 HP / 244 Atk / 20 SpA,,Exeggutor-Alola,25,Relaxed,Harvest,,Sitrus Berry,Dragon Tail,Bulldoze,Ingrain,Synthesis,All 25,252 HP / 4 Atk / 252 Def,None,Rewards Grass Knot TM
876,Galatic Commander Jupiter [Eterna City HQ],Level Cap: 33,Format: Singles,,Golbat,26,Jolly,Inner Focus,,Muscle Band,Crunch,Leech Life,Wing Attack,Poison Fang,All 25,4 HP / 252 Atk / 252 Spe,,Sableye,26,Brave,Magic Bounce,,Sitrus Berry,Shadow Sneak,Fake Out,Shadow Ball,Metal Burst,All 25,248/248/0/4/4/0,,Tangela,26,Brave,Regenerator,,Leftovers,Knock Off,Mega Drain,Sleep Powder,Growth,All 25,252 HP / 8 Atk / 248 SpA,,Skuntank,27,Naive,Stench,,Sitrus Berry,Night Slash,Flamethrower,Poison Jab,Defog,All 25,244 Atk / 20 SpA / 244 Spe,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
1944,Mira (Wayward Cave),Level Cap: 33,Format: Singles,,Togetic,27,Naive,Super Luck,,Sitrus Berry,Dazzling Gleam,Air Cutter,Soft-Boiled,Sweet Kiss,All 25 / 0 Atk,252 HP / 252 SpD / 4 Spe,,Haunter,27,Timid,Levitate,,Spell Tag,Shadow Ball,Double Team,Hypnosis,Curse,All 25 / 0 Atk,4 Def / 252 SpD / 252 Spe,,Porygon2,27,Modest,Trace,,Expert Belt,Tri Attack,Charge Beam,Signal Beam,Recover,All 25 / 0 Atk,4 Def / 252 SpD / 252 Spe,,Kadabra,28,Modest,Magic Guard,,Life Orb,Psybeam,Grass Knot,Dazzling Gleam,Recover,All 25 / 0 Atk,4 Def / 252 SPD / 252 Spe,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
687,Lucas (Route 207) [Turtwig],Level Cap: 33,Format: Singles,,Piloswine,29,Adamant,Oblivious,,Focus Sash,Avalanche,Take Down,Rock Slide,Ice Shard,All 25,252 HP / 252 Atk / 4 Def,,Granbull,29,Adamant,Intimidate,,Muscle Band,Play Rough,Fire Fang,Thunder Fang,Ice Fang,All 25,212 HP / 252 Atk / 44 SpD,,Lickilicky,29,Adamant,Own Tempo,,Leftovers,Slam,Bulldoze,Knock Off,Protect,All 25,248 HP / 8 Def / 252 SpA,,Grotle,30,Adamant,Overgrow,,Sitrus Berry,Seed Bomb,Body Slam,Leech Seed,Bulldoze,All 25,4 HP / 252 Atk / 252 Def,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
688,Lucas (Route 207) [Chimchar],Level Cap: 33,Format: Singles,,Piloswine,29,Adamant,Oblivious,,Focus Sash,Avalanche,Take Down,Rock Slide,Ice Shard,All 25,252 HP / 252 Atk / 4 Def,,Granbull,29,Adamant,Intimidate,,Muscle Band,Play Rough,Fire Fang,Thunder Fang,Ice Fang,All 25,212 HP / 252 Atk / 44 SpD,,Lickilicky,29,Adamant,Own Tempo,,Leftovers,Slam,Bulldoze,Knock Off,Protect,All 25,248 HP/ 8 Def / 252 SpA,,Monferno,30,Naive,Blaze,,Sitrus Berry,Flamethrower,Fake Out,Mach Punch,Grass Knot,All 25,252 Atk / 4 Def / 252 SpD,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
689,Lucas (Route 207) [Piplup],Level Cap: 33,Format: Singles,,Piloswine,29,Adamant,Oblivious,,Focus Sash,Avalanche,Take Down,Rock Slide,Ice Shard,All 25,252 HP / 252 Atk / 4 Def,,Granbull,29,Adamant,Intimidate,,Muscle Band,Play Rough,Fire Fang,Thunder Fang,Ice Fang,All 25,212 HP / 252 Atk / 44 SpD,,Lickilicky,29,Adamant,Own Tempo,,Leftovers,Slam,Bulldoze,Knock Off,Protect,All 25,248 HP / 8 Def / 252 SpA,,Prinplup,30,Rash,Torrent,,Sitrus Berry,Bubble Beam,Icy Wind,Brick Break,Shadow Claw,All 25,4 Def / 252 SpA / 252 Spe,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
693,Dawn (Route 207) [Turtwig],Level Cap: 33,Format: Singles,,Piloswine,29,Adamant,Oblivious,,Focus Sash,Avalanche,Take Down,Rock Slide,Ice Shard,All 25,252 HP / 252 Atk / 4 Def,,Clefable,29,Modest,Magic Guard,,Leftovers,Moonblast,Moonlight,Encore,Thunder Wave,All 25 / 0 Atk,252 HP / 252 Def / 4 SpA,,Lopunny,29,Adamant,Scrappy,,Muscle Band,Dizzy Punch,Fake Out,Jump Kick,Quick Attack,All 25,252 Atk / 252 SpD / 4 Spe,,Grotle,30,Adamant,Overgrow,,Sitrus Berry,Seed Bomb,Body Slam,Leech Seed,Bulldoze,All 25,4 HP / 252 Atk / 252 Def,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
